event_id,fight_id,fighter,w,str,td,sub,pass,weight_class,win_by,method,round,time,date,location,attendance,event_name,url
511,5539,Ion Cutelaba,L,5,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:38,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/f5b49f4c5a27e53b
511,5538,Megan Anderson,W,7,0,0,0,Women's Featherweight,KO/TKO,Punch,1,3:31,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/671f42536454e541
511,5538,Norma Dumont,L,5,1,0,0,Women's Featherweight,KO/TKO,Punch,1,3:31,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/671f42536454e541
511,5537,Grant Dawson,W,15,2,2,6,Featherweight,SUB,Rear Naked Choke,2,1:38,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/eba6055d217d5b99
511,5537,Darrick Minner,L,4,1,2,0,Featherweight,SUB,Rear Naked Choke,2,1:38,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/eba6055d217d5b99
511,5536,Kyler Phillips,W,89,2,1,4,Bantamweight,U-DEC,,3,5:00,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/0e3af9b5e1b3ae80
511,5536,Gabriel Silva,L,31,2,1,0,Bantamweight,U-DEC,,3,5:00,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/0e3af9b5e1b3ae80
511,5535,Brendan Allen,W,20,0,0,2,Middleweight,KO/TKO,Punches,1,4:47,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/d9a218ac3e148541
511,5535,Tom Breese,L,4,0,0,0,Middleweight,KO/TKO,Punches,1,4:47,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/d9a218ac3e148541
511,5534,Marcin Tybura,W,43,2,0,3,Heavyweight,U-DEC,,3,5:00,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/e30b9829e42aa4ca
