fight_id,event_id,date,weight_class,winner,loser,win_by,method,round,time,time_format,title_fight,fight_of_night,performance_bonus,fight_name,referee,attendance,location,event_name,url
5539,511,2020-02-29,Light Heavyweight,Magomed Ankalaev,Ion Cutelaba,KO/TKO,Punches,1,0:38,3 Rnd (5-5-5),False,False,False,Light Heavyweight Bout,Kevin MacDonald,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/f5b49f4c5a27e53b
5538,511,2020-02-29,Women's Featherweight,Megan Anderson,Norma Dumont,KO/TKO,Punch,1,3:31,3 Rnd (5-5-5),False,False,True,Women's Featherweight Bout,Kevin MacDonald,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/671f42536454e541
5537,511,2020-02-29,Featherweight,Grant Dawson,Darrick Minner,SUB,Rear Naked Choke,2,1:38,3 Rnd (5-5-5),False,False,False,Featherweight Bout,Kevin MacDonald,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/eba6055d217d5b99
5536,511,2020-02-29,Bantamweight,Kyler Phillips,Gabriel Silva,U-DEC,,3,5:00,3 Rnd (5-5-5),False,True,False,Bantamweight Bout,Dan Miragliotta,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/0e3af9b5e1b3ae80
5535,511,2020-02-29,Middleweight,Brendan Allen,Tom Breese,KO/TKO,Punches,1,4:47,3 Rnd (5-5-5),False,False,False,Middleweight Bout,Bill Bookwalter,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/d9a218ac3e148541
5534,511,2020-02-29,Heavyweight,Marcin Tybura,Serghei Spivac,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Heavyweight Bout,Bill Bookwalter,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/e30b9829e42aa4ca
5533,511,2020-02-29,Lightweight,Luis Pena,Steve Garcia,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Lightweight Bout,Mike King,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/9d2f7d29bb9c9034
5532,511,2020-02-29,Featherweight,Jordan Griffin,TJ Brown,SUB,Guillotine Choke,2,3:38,3 Rnd (5-5-5),False,False,True,Featherweight Bout,Mike King,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/59861c3d19eb46ef
5531,511,2020-02-29,Featherweight,Spike Carlyle,Aalon Cruz,KO/TKO,Punches,1,1:25,3 Rnd (5-5-5),False,False,False,Featherweight Bout,Scott Howard,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/0bcb04163f8d8ead
5530,511,2020-02-29,Welterweight,Sean Brady,Ismail Naurdiev,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Scott Howard,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/533d0b5c0adfa15f
5529,510,2020-02-22,Lightweight,Dan Hooker,Paul Felder,S-DEC,,5,5:00,5 Rnd (5-5-5-5-5),False,True,False,Lightweight Bout,Marc Goddard,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/5fceb95c29d929bc
5528,510,2020-02-22,Light Heavyweight,Jimmy Crute,Michal Oleksiejczuk,SUB,Kimura,1,3:29,3 Rnd (5-5-5),False,False,True,Light Heavyweight Bout,John Sharp,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/2b417eb1ffa56ac1
5527,510,2020-02-22,Women's Strawweight,Xiaonan Yan,Karolina Kowalkiewicz,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Strawweight Bout,Mark Craig,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/060987bb3025a0a8
5526,510,2020-02-22,Heavyweight,Marcos Rogerio de Lima,Ben Sosoli,KO/TKO,Punch,1,1:28,3 Rnd (5-5-5),False,False,False,Heavyweight Bout,Neil Swailes,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/9bc18b63b07bb328
5525,510,2020-02-22,Lightweight,Brad Riddell,Magomed Mustafaev,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Lightweight Bout,John Sharp,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/6d48f75153e4ad6b
5524,510,2020-02-22,Featherweight,Zubaira Tukhugov,Kevin Aguilar,KO/TKO,Punches,1,3:21,3 Rnd (5-5-5),False,False,False,Featherweight Bout,Marc Goddard,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/f882cf76a8bce308
5523,510,2020-02-22,Lightweight,Jalin Turner,Josh Culibao,KO/TKO,Punches,2,3:01,3 Rnd (5-5-5),False,False,False,Lightweight Bout,Mark Craig,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/02bdb7a5b2986571
5522,510,2020-02-22,Welterweight,Jake Matthews,Emil Meek,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Welterweight Bout,John Sharp,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/3bd20b66b585d621
5521,510,2020-02-22,Welterweight,Kenan Song,Callan Potter,KO/TKO,Punch,1,2:20,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Neil Swailes,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/03c2707563915d7d
5520,510,2020-02-22,Flyweight,Kai Kara-France,Tyson Nam,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Flyweight Bout,Marc Goddard,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/ecc23234e820458d
5519,510,2020-02-22,Women's Strawweight,Angela Hill,Loma Lookboonmee,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Strawweight Bout,John Sharp,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/af5b940f2c686524
5518,510,2020-02-22,Women's Flyweight,Priscila Cachoeira,Shana Dobson,KO/TKO,Punch,1,0:40,3 Rnd (5-5-5),False,False,True,Women's Flyweight Bout,Neil Swailes,"10,025","Auckland, New Zealand",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/102fb91414fd24ab
5517,509,2020-02-15,Light Heavyweight,Jan Blachowicz,Corey Anderson,KO/TKO,Punch,1,3:08,5 Rnd (5-5-5-5-5),False,False,True,Light Heavyweight Bout,Herb Dean,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/801b3f24c670f19a
5516,509,2020-02-15,Welterweight,Diego Sanchez,Michel Pereira,DQ,,3,3:09,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Jason Herzog,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/a02ffaf1fe462d28
5515,509,2020-02-15,Women's Flyweight,Montana De La Rosa,Mara Romero Borella,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Flyweight Bout,Joe Coca,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/96919cf8d3e988ff
5514,509,2020-02-15,Lightweight,Brok Weaver,Kazula Vargas,DQ,,1,4:02,3 Rnd (5-5-5),False,False,False,Lightweight Bout,Robert Romero,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/9d98e1c0d62213cf
