fight_id,fighter,w,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5526,Marcos Rogerio de Lima,W,1,19,34,0.55,19,34,0,0,0,0,0,0.0,15,30,2,2,2,2,18,33,0,0,1,1
5526,Ben Sosoli,L,0,5,17,0.29,5,17,0,0,0,0,0,0.0,4,16,1,1,0,0,5,17,0,0,0,0
5525,Brad Riddell,W,1,38,72,0.52,60,97,0,2,0,1,1,1.0,21,49,12,17,5,6,20,45,3,3,15,24
5525,Magomed Mustafaev,L,0,28,46,0.6,36,56,0,0,0,8,11,0.72,10,23,7,11,11,12,12,27,8,10,8,9
5524,Zubaira Tukhugov,W,2,28,36,0.77,28,37,0,0,0,0,0,0.0,26,34,2,2,0,0,15,22,0,0,13,14
5524,Kevin Aguilar,L,0,9,28,0.32,9,28,0,0,0,0,0,0.0,4,22,3,4,2,2,9,28,0,0,0,0
5523,Jalin Turner,W,0,55,91,0.6,90,129,3,4,0,0,1,0.0,38,65,17,25,0,1,14,37,9,15,32,39
5523,Josh Culibao,L,0,12,28,0.42,12,30,0,0,0,0,3,0.0,7,21,4,6,1,1,9,23,3,5,0,0
5522,Jake Matthews,W,1,33,73,0.45,71,112,0,3,0,4,7,0.57,32,70,1,3,0,0,26,62,4,5,3,6
5522,Emil Meek,L,0,50,118,0.42,85,162,0,0,0,0,1,0.0,35,95,10,12,5,11,19,78,21,29,10,11
5521,Kenan Song,W,1,17,35,0.48,21,40,0,0,0,0,0,0.0,12,29,5,6,0,0,14,29,2,5,1,1
5521,Callan Potter,L,0,7,15,0.46,8,17,0,1,0,1,1,1.0,6,14,1,1,0,0,5,12,2,3,0,0
5520,Kai Kara-France,W,0,78,257,0.3,78,257,0,0,0,0,4,0.0,51,218,9,17,18,22,72,246,5,9,1,2
5520,Tyson Nam,L,0,50,153,0.32,52,155,0,0,0,0,4,0.0,34,131,11,17,5,5,48,146,2,7,0,0
5519,Angela Hill,W,0,48,126,0.38,70,163,1,1,0,1,4,0.25,38,101,8,22,2,3,31,90,14,31,3,5
5519,Loma Lookboonmee,L,0,53,130,0.4,68,156,0,0,0,1,1,1.0,24,83,15,29,14,18,43,115,10,14,0,1
5518,Priscila Cachoeira,W,1,8,18,0.44,8,18,0,0,0,0,0,0.0,8,18,0,0,0,0,8,17,0,0,0,1
5518,Shana Dobson,L,0,5,11,0.45,5,11,0,0,0,0,0,0.0,4,9,1,2,0,0,5,11,0,0,0,0
5517,Jan Blachowicz,W,1,13,31,0.41,13,31,0,0,0,0,0,0.0,11,27,1,3,1,1,12,29,0,1,1,1
5517,Corey Anderson,L,0,11,27,0.4,11,27,0,0,0,0,0,0.0,4,19,3,4,4,4,11,27,0,0,0,0
5516,Diego Sanchez,W,0,25,64,0.39,29,68,0,0,0,0,6,0.0,6,34,10,17,9,13,23,61,1,2,1,1
5516,Michel Pereira,L,1,53,91,0.58,56,94,0,0,0,2,2,1.0,20,52,28,33,5,6,39,75,10,11,4,5
5515,Montana De La Rosa,W,1,27,67,0.4,74,128,1,6,0,1,3,0.33,15,51,8,10,4,6,14,51,4,6,9,10
5515,Mara Romero Borella,L,0,23,53,0.43,64,99,0,0,0,1,2,0.5,15,44,3,4,5,5,15,44,5,6,3,3
5514,Brok Weaver,W,0,5,9,0.55,6,10,1,0,0,0,0,0.0,3,6,0,0,2,3,4,7,0,1,1,1
5514,Kazula Vargas,L,0,15,29,0.51,50,64,0,0,0,1,2,0.5,6,14,5,10,4,5,9,21,3,5,3,3
5513,Ray Borg,W,0,35,45,0.77,60,74,0,6,0,10,19,0.52,35,44,0,1,0,0,2,7,12,16,21,22
5513,Rogerio Bontorin,L,0,9,20,0.45,24,35,0,0,0,0,2,0.0,3,14,5,5,1,1,3,13,5,6,1,1
5512,Lando Vannata,W,0,99,188,0.52,100,189,0,0,0,0,3,0.0,36,107,29,38,34,43,98,185,1,3,0,0
5512,Yancy Medeiros,L,0,68,193,0.35,68,193,0,0,0,0,1,0.0,42,163,14,17,12,13,66,191,2,2,0,0
5511,Daniel Rodriguez,W,1,49,121,0.4,49,121,1,0,0,0,0,0.0,37,107,5,7,7,7,49,119,0,2,0,0
5511,Tim Means,L,0,41,95,0.43,41,95,0,0,0,1,3,0.33,19,61,12,24,10,10,41,92,0,3,0,0
5510,John Dodson,W,1,39,72,0.54,57,91,0,0,0,0,0,0.0,31,64,5,5,3,3,31,62,4,5,4,5
5510,Nathaniel Wood,L,0,46,99,0.46,68,124,0,0,0,1,1,1.0,24,63,6,15,16,21,40,92,5,6,1,1
5509,Scott Holtzman,W,0,88,197,0.44,120,231,0,1,0,1,1,1.0,77,180,5,8,6,9,70,169,10,16,8,12
5509,Jim Miller,L,0,58,121,0.47,66,131,0,0,0,0,2,0.0,33,93,13,15,12,13,44,104,11,14,3,3
5508,Devin Clark,W,0,39,54,0.72,122,150,0,3,0,3,4,0.75,19,32,13,14,7,8,9,20,3,4,27,30
5508,Dequan Townsend,L,0,6,36,0.16,37,69,0,0,0,0,0,0.0,4,33,2,3,0,0,2,32,4,4,0,0
5507,Merab Dvalishvili,W,0,63,181,0.34,114,241,0,3,0,12,24,0.5,30,137,14,23,19,21,43,156,7,8,13,17
5507,Casey Kenney,L,0,45,118,0.38,47,120,0,0,0,0,0,0.0,22,87,10,17,13,14,42,112,3,6,0,0
5506,Macy Chiasson,W,0,86,166,0.51,154,253,0,4,0,3,8,0.37,48,120,38,46,0,0,16,49,45,61,25,56
5506,Shanna Young,L,0,40,71,0.56,50,83,0,1,0,0,1,0.0,32,57,7,12,1,2,24,54,16,17,0,0
5505,Raulian Paiva,W,1,54,126,0.42,67,139,0,0,0,0,0,0.0,33,98,10,13,11,15,45,116,8,9,1,1
5505,Mark De La Rosa,L,0,45,124,0.36,45,124,0,0,0,0,2,0.0,21,91,15,24,9,9,44,122,1,2,0,0
5504,Jon Jones,W,0,104,166,0.62,107,170,0,0,0,2,9,0.22,31,74,30,39,43,53,101,161,3,5,0,0
5504,Dominick Reyes,L,0,116,259,0.44,119,263,0,0,0,0,0,0.0,41,169,48,55,27,35,109,252,7,7,0,0
5503,Valentina Shevchenko,W,0,40,65,0.61,57,82,0,2,0,3,3,1.0,26,48,3,4,11,13,23,48,0,0,17,17
5503,Katlyn Chookagian,L,0,17,56,0.3,27,68,0,0,0,0,0,0.0,0,28,5,9,12,19,17,56,0,0,0,0
5502,Justin Tafa,W,1,10,15,0.66,10,15,0,0,0,0,0,0.0,5,9,0,1,5,5,8,11,1,1,1,3
