fight_id,fighter,round,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
2343,Rashad Evans,2,0,13,25,0.52,17,29,0,0,0,0,3,0.0,10,21,2,3,1,1,10,21,3,4,0,0
2343,Dan Henderson,2,0,12,33,0.36,15,36,0,0,0,0,0,0.0,8,29,3,3,1,1,4,25,8,8,0,0
2343,Rashad Evans,3,0,21,38,0.55,39,58,0,0,0,0,2,0.0,17,33,3,4,1,1,17,30,4,8,0,0
2343,Dan Henderson,3,0,18,28,0.64,25,35,0,0,0,0,0,0.0,8,18,8,8,2,2,9,18,9,10,0,0
2342,Roy Nelson,1,0,10,46,0.21,12,48,0,0,0,0,1,0.0,7,42,1,2,2,2,10,46,0,0,0,0
2342,Stipe Miocic,1,0,32,64,0.5,39,73,0,0,0,0,2,0.0,26,58,2,2,4,4,16,44,15,19,1,1
2342,Roy Nelson,2,0,8,34,0.23,8,34,0,0,0,0,0,0.0,7,32,0,1,1,1,7,30,1,4,0,0
2342,Stipe Miocic,2,0,39,58,0.67,46,65,0,0,0,0,3,0.0,33,52,1,1,5,5,34,53,5,5,0,0
2342,Roy Nelson,3,0,5,47,0.1,5,48,0,0,0,0,0,0.0,5,46,0,1,0,0,5,47,0,0,0,0
2342,Stipe Miocic,3,0,35,50,0.7,44,59,0,0,0,1,3,0.33,31,46,0,0,4,4,31,44,4,6,0,0
2341,Ryan Jimmo,1,0,36,47,0.76,43,54,0,0,0,0,1,0.0,8,19,10,10,18,18,13,24,23,23,0,0
2341,Igor Pokrajac,1,0,7,27,0.25,11,31,0,0,0,0,3,0.0,3,23,3,3,1,1,3,23,4,4,0,0
2341,Ryan Jimmo,2,1,15,20,0.75,44,52,0,1,0,1,1,1.0,11,16,1,1,3,3,4,6,1,1,10,13
2341,Igor Pokrajac,2,0,1,5,0.2,15,19,0,0,0,0,0,0.0,1,5,0,0,0,0,0,4,1,1,0,0
2341,Ryan Jimmo,3,0,14,16,0.87,37,44,0,0,0,0,0,0.0,7,9,4,4,3,3,5,6,5,5,4,5
2341,Igor Pokrajac,3,0,4,8,0.5,11,15,1,0,0,0,1,0.0,4,8,0,0,0,0,4,8,0,0,0,0
2340,Alexis Davis,1,0,16,32,0.5,20,36,2,0,0,0,2,0.0,10,25,4,5,2,2,7,21,9,11,0,0
2340,Rosi Sexton,1,0,14,27,0.51,51,74,0,0,0,0,1,0.0,13,26,0,0,1,1,7,19,0,1,7,7
2340,Alexis Davis,2,0,14,19,0.73,99,132,1,1,1,0,0,0.0,10,15,3,3,1,1,2,4,2,2,10,13
2340,Rosi Sexton,2,0,6,6,1.0,20,25,0,1,0,1,1,1.0,6,6,0,0,0,0,6,6,0,0,0,0
