first,last,full_name,nickname,height,weight,reach,stance,w,l,d,url
Anthony,Alves,Anthony Alves,,--,--,--,,1.0,3.0,0.0,http://www.ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar,Alves,Amilcar Alves,,"6' 0""",170 lbs.,--,Southpaw,11.0,4.0,0.0,http://www.ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley,Alves,Warlley Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,14.0,4.0,0.0,http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f
Sam,Alvey,Sam Alvey,Smile'N,"6' 2""",205 lbs.,"75.0""",Southpaw,33.0,14.0,0.0,http://www.ufcstats.com/fighter-details/d156513a19acf856
Andre,Amado,Andre Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6.0,4.0,1.0,http://www.ufcstats.com/fighter-details/20821819c401ced8
Adlan,Amagov,Adlan Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,13.0,2.0,1.0,http://www.ufcstats.com/fighter-details/1e327b281ef6a745
Maiara,Amanajas dos Santos,Maiara Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7.0,3.0,0.0,http://www.ufcstats.com/fighter-details/247fbbfafea60bb1
Chris,Amarante,Chris Amarante,,--,185 lbs.,--,,2.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy,Ambriz,Jimmy Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,15.0,18.0,1.0,http://www.ufcstats.com/fighter-details/c912f676692c353a
JJ,Ambrose,JJ Ambrose,,"5' 10""",170 lbs.,--,Orthodox,17.0,3.0,0.0,http://www.ufcstats.com/fighter-details/d562b12b8fe88336
Alen,Amedovski,Alen Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8.0,2.0,0.0,http://www.ufcstats.com/fighter-details/70fa1c64a2c439ef
Makwan,Amirkhani,Makwan Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,15.0,4.0,0.0,http://www.ufcstats.com/fighter-details/87a1dc546b1c5caf
Bertrand,Amoussou,Bertrand Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1.0,1.0,0.0,http://www.ufcstats.com/fighter-details/53adf5b845d91e4a
Karl,Amoussou,Karl Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,12.0,4.0,2.0,http://www.ufcstats.com/fighter-details/23a8c33869bf5392
Eryk,Anders,Eryk Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,13.0,4.0,0.0,http://www.ufcstats.com/fighter-details/cad24459b28592ca
Matt,Andersen,Matt Andersen,,"6' 2""",230 lbs.,--,Southpaw,14.0,8.0,1.0,http://www.ufcstats.com/fighter-details/8738eacd62e82a32
Andy,Anderson,Andy Anderson,The Hammer,"5' 6""",240 lbs.,--,,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/9199e0735b83dd32
Lowell,Anderson,Lowell Anderson,,"5' 6""",160 lbs.,--,Orthodox,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/1ffc38f67785797b
Corey,Anderson,Corey Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14.0,5.0,0.0,http://www.ufcstats.com/fighter-details/5e4eec08896c9423
Derek,Anderson,Derek Anderson,Barbaric,"6' 0""",155 lbs.,--,,14.0,3.0,0.0,http://www.ufcstats.com/fighter-details/19ba965651486013
Megan,Anderson,Megan Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11.0,4.0,0.0,http://www.ufcstats.com/fighter-details/a0e75f4a13eb73f1
Alex,Andrade,Alex Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10.0,5.0,0.0,http://www.ufcstats.com/fighter-details/1562b12763cc8d67
Jessica,Andrade,Jessica Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,20.0,7.0,0.0,http://www.ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi,Andrade,Viscardi Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19.0,7.0,0.0,http://www.ufcstats.com/fighter-details/d221ee27afc7a60e
Jermaine,Andre,Jermaine Andre,,"5' 7""",200 lbs.,--,Orthodox,14.0,4.0,0.0,http://www.ufcstats.com/fighter-details/9bad58fa651d6196
Dylan,Andrews,Dylan Andrews,The Villain,"6' 1""",185 lbs.,"73.0""",Switch,18.0,8.0,0.0,http://www.ufcstats.com/fighter-details/00debc804e2b1cd4
Reese,Andy,Reese Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7.0,3.0,0.0,http://www.ufcstats.com/fighter-details/46e2ca71fd5089cb
Julius,Anglickas,Julius Anglickas,,"6' 3""",205 lbs.,--,Orthodox,6.0,1.0,0.0,http://www.ufcstats.com/fighter-details/e20ad078a7d63361
Yoji,Anjo,Yoji Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0.0,5.0,1.0,http://www.ufcstats.com/fighter-details/e06fd1260ac865a7
Magomed,Ankalaev,Magomed Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,13.0,1.0,0.0,http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e
Nina,Ansaroff,Nina Ansaroff,The Strina,"5' 5""",115 lbs.,"64.0""",Orthodox,10.0,6.0,0.0,http://www.ufcstats.com/fighter-details/d343df8ba11f4c4e
Gadzhimurad,Antigulov,Gadzhimurad Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20.0,6.0,0.0,http://www.ufcstats.com/fighter-details/af997f7611673880
Adam,Antolin,Adam Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12.0,3.0,0.0,http://www.ufcstats.com/fighter-details/25b31165758402dd
